402.448±187.81,430.31±176.387,448.79±162.024,471.56±189.219,496.444±206.571,557.582±318.618,0.14±0.425,0.21±0.431,0.19±0.417,0.45±0.684,0.46±0.713,0.59±0.763,0.04±0.196,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.09±0.286
530.19±266.719,607.63±279.829,726.247±367.027,823.241±376.545,874.346±409.173,1003.046±398.061,0.06±0.276,0.1±0.361,0.14±0.49,0.28±0.763,0.34±0.886,0.52±0.755,0.0±0.0,0.0±0.0,0.03±0.171,0.13±0.336,0.22±0.414,0.35±0.477
419.64±178.872,465.73±208.526,524.667±250.084,520.041±228.978,623.25±345.743,686.62±365.792,0.03±0.171,0.16±0.418,0.21±0.496,0.44±0.739,0.45±0.841,0.55±0.766,0.0±0.0,0.0±0.0,0.01±0.099,0.02±0.14,0.04±0.196,0.08±0.271
438.641±199.373,441.806±190.722,501.371±294.745,463.835±201.987,524.426±273.998,606.529±334.981,0.15±0.433,0.2±0.424,0.44±0.791,0.79±0.84,0.78±0.82,1.04±0.999,0.08±0.271,0.02±0.14,0.03±0.171,0.03±0.171,0.06±0.237,0.13±0.336
551.75±315.408,635.092±353.683,698.368±333.198,784.293±360.388,841.738±411.437,1018.984±381.482,0.09±0.319,0.1±0.361,0.1±0.361,0.26±0.642,0.28±0.722,0.49±0.818,0.08±0.271,0.02±0.14,0.05±0.218,0.18±0.384,0.2±0.4,0.38±0.485
399.07±124.447,434.82±146.021,479.81±215.899,490.0±182.253,555.691±281.026,650.055±379.996,0.03±0.171,0.01±0.099,0.02±0.14,0.06±0.31,0.22±0.54,0.25±0.517,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.03±0.171,0.09±0.286
376.3±91.061,406.99±122.758,426.24±155.484,444.39±173.852,463.42±147.511,550.948±248.07,0.05±0.26,0.05±0.26,0.05±0.26,0.09±0.377,0.18±0.498,0.17±0.511,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196
370.14±119.78,378.83±115.216,394.67±148.002,444.06±175.128,435.04±146.358,449.89±157.269,0.05±0.26,0.01±0.099,0.03±0.171,0.16±0.441,0.19±0.504,0.21±0.535,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
360.24±115.565,376.08±145.284,421.29±204.114,416.89±159.788,447.58±225.345,475.41±205.1,0.34±0.604,0.5±0.671,0.76±0.907,1.04±0.926,1.05±0.829,1.28±1.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
517.1±284.462,581.45±306.777,658.444±282.545,726.32±300.927,763.385±383.192,849.821±349.238,0.03±0.171,0.08±0.337,0.08±0.306,0.12±0.382,0.15±0.456,0.26±0.626,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.04±0.196,0.05±0.218
803.33±364.314,968.294±402.208,963.437±396.382,1066.319±394.913,1054.6±455.318,1135.592±442.688,0.05±0.218,0.02±0.14,0.04±0.196,0.05±0.26,0.11±0.313,0.21±0.535,0.09±0.286,0.15±0.357,0.29±0.454,0.31±0.462,0.45±0.497,0.51±0.5
376.74±105.66,382.68±132.88,410.73±149.82,433.39±151.437,442.85±172.601,452.31±159.445,0.02±0.14,0.08±0.306,0.06±0.237,0.07±0.255,0.2±0.51,0.19±0.417,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
